S.No,Date,(Node 01) Battery Voltage ,(Node 01) Soil EC,(Node 01) Soil Moisture ,(Node 01) Soil Temperature ,(Node 01) Solar Voltage ,(Node 02) Battery Voltage ,(Node 02) Soil EC,(Node 02) Soil Moisture ,(Node 02) Soil Temperature ,(Node 02) Solar Voltage ,(Node 03) Battery Voltage ,(Node 03) Soil EC,(Node 03) Soil Moisture ,(Node 03) Soil Temperature ,(Node 03) Solar Voltage ,(Node 04) Battery Voltage ,(Node 04) Soil EC,(Node 04) Soil Moisture ,(Node 04) Soil Temperature ,(Node 04) Solar Voltage 
1,12/01/2022- 11:07:49 AM,4.21,,20.43,,5,,,,,,,,,,,,,,,
2,12/01/2022- 11:19:14 AM,4.21,111.08,20.46,22.75,5,,,,,,,,,,,,,,,
3,12/01/2022- 11:29:51 AM,4.21,115.97,20.51,22.78,5,,,,,,,,,,,,,,,
4,12/01/2022- 11:41:15 AM,4.21,112.3,20.14,22.75,5,,,,,,,,,,,,,,,
5,12/01/2022- 11:51:37 AM,4.21,107.42,20.41,22.78,5,,,,,,,,,,,,,,,
6,12/01/2022- 12:03:16 PM,4.21,111.08,20.41,22.93,5,,,,,,,,,,,,,,,
7,12/01/2022- 12:13:38 PM,4.26,126.95,20.85,23.31,4.32,,,,,,,,,,,,,,,
8,12/01/2022- 12:25:16 PM,4.22,113.53,20.48,22.7,5,,,,,,,,,,,,,,,
9,12/01/2022- 12:35:38 PM,4.22,109.86,20.14,22.7,5,,,,,,,,,,,4.19,123.29,21.46,21.26,5
10,12/01/2022- 12:47:03 PM,4.27,,20.75,,4.39,,,,,,,,,,,,,,,
11,12/01/2022- 12:57:40 PM,4.27,124.51,20.7,23.16,4.39,,,,,,,,,,,,,,,
12,12/01/2022- 1:09:04 PM,4.26,125.73,20.43,22.93,5,,,,,,,,,,,,,,,
13,12/01/2022- 1:19:26 PM,4.23,114.75,20.17,22.72,5,4.24,58.59,17.29,22.58,5,,,,,,,,,,
14,12/01/2022- 1:30:01 PM,4.23,117.19,20.31,22.75,5,,,,,,,,,,,,,,,
15,12/01/2022- 1:41:26 PM,4.23,112.3,20.31,22.87,5,,,,,,,,,,,,,,,
16,12/01/2022- 1:51:48 PM,4.27,,20.46,,4.35,,,,,,,,,,,,,,,
17,12/01/2022- 2:03:26 PM,4.23,113.53,20.21,22.9,5,,,,,,,,,,,,,,,
18,12/01/2022- 2:13:49 PM,4.27,124.51,20.41,23.02,4.39,,,,,,,,,,,,,,,
19,12/01/2022- 2:25:13 PM,4.23,109.86,20.41,22.67,5,,,,,,,,,,,,,,,
20,12/01/2022- 2:35:49 PM,4.27,124.51,20.41,23.13,4.35,,,,,,,54.93,,22.14,,,,,,
21,12/01/2022- 2:47:14 PM,4.23,117.19,19.95,22.72,5,,,,,,4.21,62.26,22.95,22.14,4.39,,,,,
22,12/01/2022- 2:57:51 PM,4.26,120.85,20.46,23.16,4.51,,,,,,4.22,62.26,22.73,22.4,4.31,,,,,
23,12/01/2022- 3:09:16 PM,4.26,,20.39,,4.45,,,,,,,,,,,,,,,
24,12/01/2022- 3:19:38 PM,4.25,123.29,20.36,23.02,4.47,,,,,,,,,,,,,,,
25,12/01/2022- 3:30:15 PM,4.25,117.19,20.21,23.05,4.33,,,,,,,,,,,,,,,
